hito1;hito2;exitosos;fallidos;sol1;programa
17.0;0.0;10;21;1;UNAB22115
12.0;0;7;9;1;UNAB22115
11.0;0;6;10;1;UNAB22115
0;0;0;0;1;UNAB22115
0;0;0;0;1;UNAB22510
0;0;0;0;1;UNAB22115
0;0;0;0;1;UNAB22505
0.0;0;0;16;1;UNAB21500
0;0;0;0;1;UNAB22115
0;0;0;0;1;UNAB22115
0;0;0;0;1;UNAB22115
0;0;0;0;1;UNAB22100
0;0;0;0;1;UNAB22115
12.0;0;7;9;1;UNAB22115
0;0;0;0;1;UNAB22510
22.0;0.0;12;19;1;UNAB22115
0.0;0.0;0;31;1;UNAB21500
27.0;0;14;2;1;UNAB22100
0;0;0;0;1;UNAB22115
0;0;0;0;1;UNAB12100
12.0;0;7;9;1;UNAB22115
0;0;0;0;1;UNAB22115
0;0;0;0;1;UNAB22115
0;0;0;0;1;UNAB21503
0;0;0;0;1;UNAB21500
0;0;0;0;1;UNAB22115
12.0;0;7;9;1;UNAB22115
0;0;0;0;1;UNAB12100
0;0;0;0;1;UNAB21500
0;0;0;0;1;UNAB12100
2.0;0.0;2;29;1;UNAB22115
20.0;0;10;6;1;UNAB12100
21.0;0;11;5;1;UNAB12210
0;0;0;0;1;UNAB22510
0;0;0;0;1;UNAB11500
0;0;0;0;1;UNAB12100
22.0;0.0;12;19;1;UNAB22510
0;0;0;0;1;UNAB11500
0;0;0;0;1;UNAB12100
30.0;0.0;17;30;1;UNAB12510
8.0;0;6;10;1;UNAB12210
0;0;0;0;1;UNAB12210
2.0;0;2;14;1;UNAB11500
0;0;0;0;1;UNAB11500
19.0;0;10;6;1;UNAB11500
0.0;0;0;16;1;UNAB11500
19.0;0;10;6;1;UNAB11500
0;0;0;0;1;UNAB11500
2.0;0;2;14;1;UNAB12100
0.0;0;0;16;1;UNAB12100
11.0;0;7;9;1;UNAB12100
0.0;0;0;16;1;UNAB21500
0;0;0;0;1;UNAB11500
15.0;0;8;8;1;UNAB12100
17.0;0;10;6;1;UNAB11500
12.0;0;8;8;1;UNAB12100
13.0;0.0;7;24;1;UNAB12100
1.0;0;1;31;1;UNAB12210
13.0;0;8;8;1;UNAB12100
9.0;0;7;9;1;UNAB12210
21.0;6.0;17;14;1;UNAB11500
22.0;0.0;12;19;1;UNAB21500
13.0;0;9;7;1;UNAB11500
12.0;0;7;9;1;UNAB12100
0;0;0;0;1;UNAB11500
0.0;0;0;16;1;UNAB12100
10.0;0;6;10;1;UNAB12100
0.0;0;0;16;1;UNAB11500
2.0;2.0;4;27;1;UNAB12210
13.0;0;7;9;1;UNAB12100
16.0;0;9;7;1;UNAB12100
14.0;0;9;7;1;UNAB12100
19.0;0;10;6;1;UNAB11500
0;0;0;0;1;UNAB12100
0;0;0;0;1;UNAB12100
26.0;0;13;3;1;UNAB12100
24.0;0;13;3;1;UNAB12100
15.0;0.0;8;23;1;UNAB12100
12.0;0;7;9;1;UNAB12100
10.0;0;6;10;1;UNAB12100
20.0;0.0;11;20;1;UNAB12510
0;0;0;0;1;UNAB12100
0;0;0;0;1;UNAB21500
5.0;0;4;12;1;UNAB12210
12.0;0;7;9;1;UNAB12100
12.0;0;8;8;1;UNAB12100
5.0;0;2;14;1;UNAB11500
14.0;0;8;8;1;UNAB12100
12.0;0;7;9;1;UNAB12100
15.0;0;8;8;1;UNAB12100
12.0;0;7;9;1;UNAB12100
4.0;0;3;13;1;UNAB11500
3.0;0;3;13;1;UNAB12100
27.0;0;14;2;1;UNAB21500
10.0;0;5;11;1;UNAB12100
18.0;0;10;6;1;UNAB12100
0;0;0;0;1;UNAB12100
19.0;0;10;6;1;UNAB12100
15.0;0.0;9;22;1;UNAB11500
32.0;0.0;16;15;1;UNAB12210
7.0;0;5;11;1;UNAB11500
